date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:47	201/201	U-----	200	untouched ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://moliorrsteam.wixsite.com/robots.txt		(from )
14:00:47	464035/464035	U-----	200	untouched ('OK')	text/html	date:Thu,%2018%20Mar%202021%2016:25:23%20GMT	https://moliorrsteam.wixsite.com/moliorrs	C:/My%20Web%20Sites/molior%20rs/moliorrsteam.wixsite.com/moliorrs.html	(from )
14:00:48	1061/1061	---M--	200	added ('OK')	image/x-icon	etag:%22602a84ce-425%22	https://www.wix.com/favicon.ico	C:/My%20Web%20Sites/molior%20rs/www.wix.com/favicon.ico	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Mar%202021%2018:00:48%20GMT	https://moliorrsteam.wixsite.com/moliorrs/decodeURIComponent(e	C:/My%20Web%20Sites/molior%20rs/moliorrsteam.wixsite.com/moliorrs/decodeURIComponent(e	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:48	1171/1171	U-----	200	untouched ('')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:48	137771/137771	U-----	200	untouched ('')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Mar%202021%2018:00:49%20GMT	https://moliorrsteam.wixsite.com/moliorrs/https:	C:/My%20Web%20Sites/molior%20rs/moliorrsteam.wixsite.com/moliorrs/https_	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:49	37648/37648	U-----	200	untouched ('')	text/javascript	date:Wed,%2017%20Feb%202021%2006:27:52%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/molior%20rs/polyfill.io/v3/polyfill.mind82c.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:49	58325/58325	U-----	200	untouched ('')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/My%20Web%20Sites/molior%20rs/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Mar%202021%2018:00:49%20GMT	https://moliorrsteam.wixsite.com/moliorrs/robots.txt	C:/My%20Web%20Sites/molior%20rs/moliorrsteam.wixsite.com/moliorrs/robots.txt	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Mar%202021%2018:00:49%20GMT	https://moliorrsteam.wixsite.com/moliorrs/feed.xml	C:/My%20Web%20Sites/molior%20rs/moliorrsteam.wixsite.com/moliorrs/feed.xml	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:50	291/291	U-----	200	untouched ('')	text/xml	date:Thu,%2018%20Mar%202021%2016:25:28%20GMT	https://moliorrsteam.wixsite.com/moliorrs/sitemap.xml	C:/My%20Web%20Sites/molior%20rs/moliorrsteam.wixsite.com/moliorrs/sitemap.xml	(from https://moliorrsteam.wixsite.com/moliorrs)
14:00:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Mar%202021%2018:00:51%20GMT	https://moliorrsteam.wixsite.com/moliorrs/$&/	C:/My%20Web%20Sites/molior%20rs/moliorrsteam.wixsite.com/moliorrs/$&/index.html	(from https://moliorrsteam.wixsite.com/moliorrs)
14:01:26	135437/135437	U-----	200	untouched ('')	application/javascript	etag:W/%22ee5a8b35c61a66f6b233d0819b9a0360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.c3838642.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.c3838642.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:01:27	231654/231654	U-----	200	untouched ('')	application/javascript	etag:W/%2227987226ae8de3bf4a91ace9deb8135c%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.0923d53a.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/main.0923d53a.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:01:27	73261/73261	U-----	200	untouched ('')	application/javascript	etag:W/%22bc0594c54450e8ac689739b6b198067a%22	https://static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:01:29	22112/22112	U-----	200	untouched ('')	application/javascript	etag:W/%22e7ab980e6b8d8855c4ba1c8d7f702485%22	https://static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.3680cd19.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.3680cd19.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:02:03	19191/19191	U-----	200	untouched ('')	application/javascript	etag:W/%2237ba6954507365f57ea76ad3dfa48b16%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooi.b33f55a1.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/ooi.b33f55a1.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:02:03	35067/35067	U-----	200	untouched ('')	application/javascript	etag:W/%22ad3db176daa42920ba788cf455a83825%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.d7f26869.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.d7f26869.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:02:04	3060/3060	U-----	200	untouched ('')	application/javascript	etag:W/%22837a0858606b14e02944c351a3cf826a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteScrollBlocker.8fc80979.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/siteScrollBlocker.8fc80979.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:02:06	8557/8557	U-----	200	untouched ('')	application/javascript	etag:W/%226c3c5c92da9e8d54c47c2d832c10ed12%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.6d73eb98.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.6d73eb98.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:02:08	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Mar%202021%2018:02:07%20GMT	https://moliorrsteam.wixsite.com/	C:/My%20Web%20Sites/molior%20rs/moliorrsteam.wixsite.com/index.html	(from https://moliorrsteam.wixsite.com/moliorrs)
14:02:39	592/592	U-----	200	untouched ('')	application/javascript	etag:W/%220b120bb6a0c57e287c1f4b584e2468c8%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.569159dd.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.569159dd.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:02:40	15722/15722	U-----	200	untouched ('')	application/javascript	etag:W/%22b69b86ebccd995bb6844fd209ed9916b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platform.74fa3930.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/platform.74fa3930.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:02:40	10276/10276	U-----	200	untouched ('')	application/javascript	etag:W/%22bb126b6054c4d9c61702d224b8344943%22	https://static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:02:45	156228/156228	U-----	200	untouched ('')	application/javascript	etag:W/%229cb2f13c902d746320850476b4963d4e%22	https://static.parastorage.com/services/editor-elements/dist/thunderboltElements.110ee1f3.bundle.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/editor-elements/dist/thunderboltElements.110ee1f3.bundle.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:03:16	28769/28769	U-----	200	untouched ('')	application/javascript	etag:W/%22176ee9e7e73026df1413537b2d27c82d%22	https://static.parastorage.com/services/wix-perf-measure/1.401.0/wix-perf-measure.bundle.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-perf-measure/1.401.0/wix-perf-measure.bundle.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:03:17	399/399	U-----	200	untouched ('')	application/javascript	etag:%22bce5ef3374e158fef60eafcfde72d329%22	https://static.parastorage.com/services/wix-thunderbolt/dist/vendor-react-dom.b37fd392.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/vendor-react-dom.b37fd392.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:03:17	122769/122769	U-----	200	untouched ('')	application/javascript	etag:W/%2248ca30345d43c04a1a0c6f206446939a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/vendors~vendor-react-dom.1dbd008a.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/vendors_vendor-react-dom.1dbd008a.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
14:03:21	213371/213371	U-----	200	untouched ('')	application/javascript	etag:W/%22eb8c9b9fa65c5e089b8a3886c02b2116%22	https://static.parastorage.com/services/wix-thunderbolt/dist/animations-vendors.c1240224.chunk.min.js	C:/My%20Web%20Sites/molior%20rs/static.parastorage.com/services/wix-thunderbolt/dist/animations-vendors.c1240224.chunk.min.js	(from https://moliorrsteam.wixsite.com/moliorrs)
